"","x","y"
"1",0.720448377542198,0.893111520322898
"2",1.08788216253743,1.52183564557155
"3",6.24584587290883,6.39807818444362
"4",2.42067636689171,2.4276856513626
"5",6.99237695662305,6.0335249322864
"6",7.58488023187965,7.78163004285939
"7",2.69456912297755,2.82626920523363
"8",2.23112308653072,0.994239788215194
"9",9.39812491182238,9.08185010472533
"10",7.40278620971367,5.64927243195023
"11",6.12999085802585,7.64257122434207
"12",7.72101637907326,7.65768726186049
"13",6.89614091999829,7.35781081281616
"14",2.65358271310106,3.78520109001821
"15",5.12574792839587,2.77456368801546
"16",2.33187582343817,2.16778538807075
"17",0.614129491150379,0.0675201792293331
"18",4.24139159731567,4.92537269745387
"19",2.68053066683933,2.21102076375949
"20",6.1113124480471,5.61769753249741
"21",0.0196876865811646,0.609362083931916
"22",9.16534224525094,9.0125837537915
"23",1.21850822819397,2.75060391121197
"24",5.32127903075889,5.70663433378961
"25",1.26402677968144,2.25995664920017
"26",2.78901632176712,3.59518579572522
"27",1.29417909309268,1.76893783939571
"28",3.80272118607536,4.91176323826943
"29",3.79296666942537,4.1397161360092
"30",6.19470746489242,7.06905632462509
"31",1.60268372157589,3.54721570086917
"32",7.89763806387782,7.28489851886295
"33",1.75896001746878,2.41453016484843
"34",9.08440406899899,9.99928319590776
"35",4.34399380348623,4.80104050181415
"36",6.84532930143178,6.715047884712
"37",0.845589039381593,-0.97837230795802
"38",1.50614166865125,0.0848162290805365
"39",7.77621579123661,6.14203186624143
"40",1.41074852552265,-0.299399273969532
"41",2.69319256069139,3.64444902817572
"42",5.21326233400032,4.45291023931392
"43",4.54347929917276,3.45118964316117
"44",2.4188641528599,2.05632564303996
"45",5.88336499640718,6.10773548752153
"46",7.63202917296439,7.22799557010055
"47",5.15017834492028,5.79681438778388
"48",3.60671023605391,4.73430676394134
"49",1.71187395229936,1.15747094421005
"50",7.40374787244946,8.33881641049949
